Test Id,Cleaned Title,Cleaned Description,Combined Input,Custom Summary,Custom ROUGE-1,T5 Summary,T5 ROUGE-1,Flan-T5 Summary,Flan-T5 ROUGE-1,BART Summary,BART ROUGE-1
1,all mandatory fields should be validated and indicated by an asterisk symbol.,"check all the mandatory fields in all the forms, screens, popup windows etc. and make sure that they are marked by an asterix symbol. additionaly if there are any agreed upon colour coding for such fields and the asterix symbol, then that should be present.","Title: all mandatory fields should be validated and indicated by an asterisk symbol.. Description: check all the mandatory fields in all the forms, screens, popup windows etc. and make sure that they are marked by an asterix symbol. additionaly if there are any agreed upon colour coding for such fields and the asterix symbol, then that should be present.","All mandatory fields should be validated and indicated by an asterisk symbol. if there are any agreed upon colour coding for such fields, then that should be present.",0.6,"all mandatory fields should be validated and indicated by an asterisk symbol . if there are agreed upon colour coding for such fields and the asterix symbol, then that should be present .",0.5581395348837209,all mandatory fields should be validated and indicated by an asterisk symbol.,1.0,All mandatory fields should be validated and indicated by an asterisk symbol. additionaly if there are any agreed upon colour coding for such fields then that should be present.,0.5853658536585366
2,validation error messages should be displayed properly in the correct position.,entering invalid values in a field on any webpage should trigger error messages. the triggered error messages should as per the expected design emntioned in the frd or any agreed upon knowlwedge base document.,Title: validation error messages should be displayed properly in the correct position.. Description: entering invalid values in a field on any webpage should trigger error messages. the triggered error messages should as per the expected design emntioned in the frd or any agreed upon knowlwedge base document.,triggered error messages should be displayed properly in the correct position.,0.9090909090909091,entering invalid values in a field should trigger error messages . the triggered error messages should as per the expected design emntioned in the frd .,0.28571428571428575,Validation error messages should be displayed properly in the correct position.,1.0,Entering invalid values in a field on any webpage should trigger error messages. Error messages should be displayed properly in the correct position.,0.5882352941176471
3,"all error messages should be displayed in the same css style for example, using red color",any error message which is triggered during any validation should be colour coddes in the same cssstyle so as to make the colour coding consistent for an application.,"Title: all error messages should be displayed in the same css style for example, using red color. Description: any error message which is triggered during any validation should be colour coddes in the same cssstyle so as to make the colour coding consistent for an application.",any error message which is triggered during validation should be colour coddes in the same cssstyle.,0.375,"error messages should be displayed in the same css style for example, using red color .",0.967741935483871,All error messages should be displayed in the same css style.,0.8148148148148148,"All error messages should be displayed in the same css style for example, using red color.",1.0
4,"general confirmation messages should be displayed using css style other than error messages style for example, using green color","any message other than standard error messagewarning message etc. should be displayed in a css stylecolour other than thecolourstyle used for an error message. for example, if error message is displayed in red colour then a warning message should be somethign else like green colour.","Title: general confirmation messages should be displayed using css style other than error messages style for example, using green color. Description: any message other than standard error messagewarning message etc. should be displayed in a css stylecolour other than thecolourstyle used for an error message. for example, if error message is displayed in red colour then a warning message should be somethign else like green colour.",general confirmation messages should be displayed using css style. if error message is displayed in red colour then warning message should be somethign else like green colour.,0.47826086956521735,"any message other than standard error messages should be displayed in css style . for example, if error message is displayed in red colour then a warning message should be somethign else like green colour .",0.45283018867924524,"general confirmation messages should be displayed using css style other than error message style for example, using green color.",0.9473684210526315,"Confirmation messages should be displayed using css style other than error messages style for example, using green color.",0.972972972972973
5,tooltips text should be meaningful.,tooltips help the user to get a quick description about a particular web componentfucntionality. thes etooltips should convey meaningful information about that componenttool on a page and should be brief.,Title: tooltips text should be meaningful.. Description: tooltips help the user to get a quick description about a particular web componentfucntionality. thes etooltips should convey meaningful information about that componenttool on a page and should be brief.,etooltips should convey meaningful information about a particular web componentfucntionality.,0.26666666666666666,tooltips help the user to get a quick description about a particular web componentfucntionality . text should convey meaningful information about that componenttool on a page and should be brief .,0.29411764705882354,Tooltips text should be meaningful..,1.0,Tooltips help the user to get a quick description about a particular web component.,0.10526315789473682
6,dropdown fields should have the first entry as blank or text like select.,all the dropdowns in any page of an applictaion should have the first entry as blank or a text like select. this is helpful in conveying that nothing is select by default unless otherwise required by design.,Title: dropdown fields should have the first entry as blank or text like select.. Description: all the dropdowns in any page of an applictaion should have the first entry as blank or a text like select. this is helpful in conveying that nothing is select by default unless otherwise required by design.,dropdown fields should have the first entry as blank or text like select. this is helpful in conveying that nothing is select by default unless otherwise required by design.,0.6190476190476191,dropdown fields should have the first entry as blank or a text like select . this is helpful in conveying that nothing is select by default .,0.6842105263157895,dropdown fields should have the first entry as blank or text like select.,1.0, dropdown fields should have the first entry as blank or text like select. this is helpful in conveying that nothing is select by default unless otherwise required by design.,0.6190476190476191
7,delete functionality for any record on a page should ask for a confirmation.,"clicking on the delete button on any webpage should not trigger the delete action rightaway. instead the system should ask for confirmation from the user through a proper agreed upon standard chanel. for example, on clicking the delete button should make a popup appear onscreen with teh appropriate confirmation message and an ok and cancel button.","Title: delete functionality for any record on a page should ask for a confirmation.. Description: clicking on the delete button on any webpage should not trigger the delete action rightaway. instead the system should ask for confirmation from the user through a proper agreed upon standard chanel. for example, on clicking the delete button should make a popup appear onscreen with teh appropriate confirmation message and an ok and cancel button.",clicking on the delete button should not trigger the delete action rightaway. instead the system should ask for confirmation from the user through a proper agreed upon standard chanel.,0.3333333333333333,click on the delete button on any webpage should not trigger the delete action right away . instead the system should ask for confirmation from the user through a proper agreed upon standard chanel .,0.34782608695652173,delete functionality for any record on a page should ask for a confirmation.,1.0, delete functionality for any record on a page should ask for a confirmation.,1.0
8,selectdeselect all records option should be provided if page supports record adddeleteupdate functionality,whenever a page support addupdatedelete fucntionality then theat page should provide the user with an option to select all the selectable items with a select all button. that page should also provide another option to deselect all select items at once with the deselect alloption,Title: selectdeselect all records option should be provided if page supports record adddeleteupdate functionality. Description: whenever a page support addupdatedelete fucntionality then theat page should provide the user with an option to select all the selectable items with a select all button. that page should also provide another option to deselect all select items at once with the deselect alloption,if page supports record adddeleteupdate functionality then theat page should provide the user with an option to select all the selectable items with a select all button. that page should also provide another option to deselect,0.3673469387755102,theat page should provide the user with an option to select all the selectable items with a select all button . that page should also provide another option to deselect all select items at once .,0.1702127659574468,if page supports record adddeleteupdate functionality then theat page should provide the user with an option to select all the selectable items with a select all button.,0.45,Selectdeselect all records option should be provided if page supports record adddeleteupdate functionality.,1.0
9,amount values should be displayed with correct currency symbols.,"fields which are supposed to be updated with currency values or are supposed to display currency values, should contain proepr currency symbols. these symbols should be relevant to the currency being displayed by default or the currecny to be entered.","Title: amount values should be displayed with correct currency symbols.. Description: fields which are supposed to be updated with currency values or are supposed to display currency values, should contain proepr currency symbols. these symbols should be relevant to the currency being displayed by default or the currecny to be entered.",Description: fields which are supposed to be updated with currency symbols should contain proepr currency symbols. these symbols should be relevant to the currency being displayed by default.,0.3333333333333333,fields supposed to be updated with currency values should contain correct currency symbols . these symbols should be relevant to the currency being displayed by default or the currency to be entered .,0.39999999999999997,amount values should be displayed with correct currency symbols.,1.0, fields which are supposed to be updated with currency values should contain proepr currency symbols. these symbols should be relevant to the currency being displayed by default.,0.3888888888888889
10,default page sorting should be provided.,page should be sorted by default.,Title: default page sorting should be provided.. Description: page should be sorted by default.,Title: default page sorting should be provided. Description: page should be sorted by default.,0.631578947368421,default page sorting should be provided . page should be sorted by default .,0.6666666666666666,Default page sorting should be provided.,1.0, default page sorting should be provided. page should be sorted by default.,0.6666666666666666
11,reset button functionality should set default values for all fields.,clicking on the reset button should discard the recent changes and set the values of all fields to their defaultvalues,Title: reset button functionality should set default values for all fields.. Description: clicking on the reset button should discard the recent changes and set the values of all fields to their defaultvalues,clicking on the reset button should discard the recent changes and set the values of all fields to their defaultvalues. Title: reset button functionality should set default values for all fields.,1.0,clicking on the reset button should set the values of all fields to their default values .,0.6153846153846154,reset button functionality should set default values for all fields.,1.0, reset button functionality should set default values for all fields.,1.0
12,all numeric values should be formatted properly.,all the numeric fields should be formatted correctly. the decimel places for fields having decimel values should be correct upto to the required number of values after the decimel places. the integer fields should not display decimel values.,Title: all numeric values should be formatted properly.. Description: all the numeric fields should be formatted correctly. the decimel places for fields having decimel values should be correct upto to the required number of values after the decimel places. the integer fields should not display decimel values.,all numeric fields should be formatted correctly. decimel places should be correct up to the required number of values.,0.46153846153846156,all the numeric fields should be formatted properly . the decimel places for fields having decimel values should be correct .,0.5384615384615384,all numeric values should be formatted properly.,1.0,All the numeric fields should be formatted correctly. The decimel places for fields having decimal values should be correct upto to the required number of values.,0.36363636363636365
13,input fields should be checked for the max field value. input values greater than the specified max limit should not be accepted or stored in the database.,the input fields should have proper checks for acceptable max value. required truncation should be in place for values excedding the accepable limit.,Title: input fields should be checked for the max field value. input values greater than the specified max limit should not be accepted or stored in the database.. Description: the input fields should have proper checks for acceptable max value. required truncation should be in place for values excedding the accepable limit.,input values greater than the specified max limit should not be accepted. required truncation should be in place for values excedding the accepable limit.,0.6666666666666667,input values greater than the specified max limit should not be accepted . required truncation should be in place for values exceeding the accepable limit .,0.6666666666666667,Input fields should be checked for the max field value. input values greater than the specified max limit should not be accepted.,0.8979591836734693, input values greater than the specified max limit should not be accepted or stored in the database. required truncation should be in place for values excedding the accepable limit.,0.75
14,check all input fields for special characters.,proper checks should be in place for special characters in input fields. if special characters are accepatble then it should accept and if special characters are nota acceptable then it should throw an error.,Title: check all input fields for special characters.. Description: proper checks should be in place for special characters in input fields. if special characters are accepatble then it should accept and if special characters are nota acceptable then it should throw an error.,proper checks should be in place for special characters in input fields. if special characters are accepatble then it should accept.,0.35714285714285715,proper checks should be in place for special characters in input fields . if special characters are acceptable then it should throw an error .,0.3333333333333333,Check all input fields for special characters..,1.0, proper checks should be in place for special characters in input fields. If special characters are accepatble then it should accept and if special characters aren't acceptable it should throw an error.,0.25
15,field labels should be standard e.g. field accepting users first name should be labeled properly as first name.,field labels should be standard. this standard should be based on the base document whicheve document is accepted as the base,Title: field labels should be standard e.g. field accepting users first name should be labeled properly as first name.. Description: field labels should be standard. this standard should be based on the base document whicheve document is accepted as the base,field labels should be standard e.g. field accepting users first name should be labeled properly as first name. based on base document whicheve document is accepted as base document.,0.7755102040816326,field accepting users first name should be labeled properly as first name . standard should be based on base document whicheve document is accepted as the base document .,0.6521739130434783,field labels should be standard. this standard should be based on the base document whicheve document is accepted as the base,0.4,Field labels should be standard e.g. field accepting users first name should be labeled properly as first name. this standard should be based on the base document.,0.8085106382978724
16,check page sorting functionality after addeditdelete operations on any record.,"the sorting on a page should be correct even if a record is added , removed or updated.post this actions the sorting should still be correct.","Title: check page sorting functionality after addeditdelete operations on any record.. Description: the sorting on a page should be correct even if a record is added , removed or updated.post this actions the sorting should still be correct.",Sorting on a page should be correct even if a record is added.,0.34782608695652173,title: check page sorting functionality after addeditdelete operations on any record .,1.0,check page sorting functionality after addeditdelete operations on any record,1.0,"Sorting on a page should be correct even if a record is added, removed or updated.",0.3076923076923077
19,check if downloadable files are pointing to the correct file paths.,check if downloadable files are pointing to the correct file paths.,Title: check if downloadable files are pointing to the correct file paths.. Description: check if downloadable files are pointing to the correct file paths.,Title: Check if downloadable files are pointing to the correct file paths.,1.0,check if downloadable files are pointing to the correct file paths.,1.0,Check if downloadable files are pointing to the correct file paths.,1.0, check if downloadable files are pointing to the correct file paths.,1.0
20,all resource keys should be configurable in config files or database instead of hard coding.,there shouldnt be any hard coding done.,Title: all resource keys should be configurable in config files or database instead of hard coding.. Description: there shouldnt be any hard coding done.,Title: all resource keys should be configurable in config files or database instead of hard coding.,1.0,all resource keys should be configurable in config files or database . there shouldnt be any hard coding done.,0.7878787878787877,Resource keys should be configurable in config files or database.,0.8,All resource keys should be configurable in config files or database instead of hard coding.,1.0
21,standard conventions should be followed throughout for naming resource keys.,the naming conventio should be standard for the resource keys. this standard should be based on a base document.,Title: standard conventions should be followed throughout for naming resource keys.. Description: the naming conventio should be standard for the resource keys. this standard should be based on a base document.,naming conventio should be standard for resource keys.,0.7777777777777777,standard conventions should be followed throughout for naming resource keys .,1.0,Standard conventions should be followed for naming resource keys.,0.9473684210526316, standard conventions should be followed throughout for naming resource keys. this standard should be based on a base document.,0.6896551724137931
22,validate markup for all web pages validate html and css for syntax errors to make sure it is compliant with the standards.,all the markup in web pages should be standard.,Title: validate markup for all web pages validate html and css for syntax errors to make sure it is compliant with the standards.. Description: all the markup in web pages should be standard.,All the markup in web pages should be standard. Title: validate markup for all web pages.,0.42857142857142855,all the markup in web pages should be standard.,0.3225806451612903,Validate markup for all web pages.,0.42857142857142855, validate markup for all web pages. validate html and css for syntax errors.,0.7428571428571429
23,application crash or unavailable pages should be redirected to the error page.,whenever a webpage crashes then user should be redirected to an errorpage having a standard error message. the same should be true for unavilable page as well.,Title: application crash or unavailable pages should be redirected to the error page.. Description: whenever a webpage crashes then user should be redirected to an errorpage having a standard error message. the same should be true for unavilable page as well.,Whenever a webpage crashes then user should be redirected to an errorpage with a standard error message.,0.3448275862068966,application crash or unavailable pages should be redirected to the error page . the same should be true for unavilable page as well .,0.7058823529411764,Application crash or unavailable pages should be redirected to the error page.,1.0,Application crash or unavailable pages should be redirected to the error page.,1.0
24,check the text on all pages for spelling and grammatical errors.,the text appearing in all the pages should be free from any spelling and grammatical errors.,Title: check the text on all pages for spelling and grammatical errors.. Description: the text appearing in all the pages should be free from any spelling and grammatical errors.,Title: Check the text on all pages for spelling and grammatical errors.,1.0,the text appearing in all the pages should be free from any spelling and grammatical errors.,0.5925925925925926,Check the text on all pages for spelling and grammar errors.,0.9090909090909091,Check the text on all pages for spelling and grammatical errors.,1.0
25,check numeric input fields with character input values. a proper validation message should appear.,the numeric fields should have validation for character input. a proper error message should be displayed whenever user tries to enter a character in a numeric .,Title: check numeric input fields with character input values. a proper validation message should appear.. Description: the numeric fields should have validation for character input. a proper error message should be displayed whenever user tries to enter a character in a numeric .,a proper validation message should be displayed whenever user tries to enter a character in a numeric.,0.45161290322580644,proper validation message should appear whenever user tries to enter a character in a numeric field .,0.5333333333333333,check numeric input fields with character input values. a proper validation message should appear.,1.0,Numeric fields should have validation for character input. A proper error message should be displayed whenever user tries to enter a character.,0.5000000000000001
26,check for negative numbers if allowed for numeric fields.,the numeric fields should have validation for character input. a proper error message should be displayed whenever user tries to enter a character in a numeric .,Title: check for negative numbers if allowed for numeric fields.. Description: the numeric fields should have validation for character input. a proper error message should be displayed whenever user tries to enter a character in a numeric .,Numeric fields should have validation for character input.,0.35294117647058826,proper error message should be displayed whenever user tries to enter a character in a numeric .,0.08,check for negative numbers if allowed for numeric fields,1.0,Numeric fields should have validation for character input. Check for negative numbers if allowed for numeric fields.,0.6923076923076924
27,check the number of fields with decimal number values.,the numeric fields should have validation for decimel input. a proper error message should be displayed whenever user tries to enter a decimel in a numeric .,Title: check the number of fields with decimal number values.. Description: the numeric fields should have validation for decimel input. a proper error message should be displayed whenever user tries to enter a decimel in a numeric .,Numeric fields should have validation for decimel input. error message should be displayed whenever user tries to enter a decimel in a numeric.,0.0625,proper error message should be displayed whenever user tries to enter a decimel in a numeric .,0.0,check the number of fields with decimal number values.,1.0,Check the number of fields with decimal number values.,1.0
28,check the functionality of buttons available on all pages.,all the buttons in every page should behave as expected. the functionality should be inline to the agreed standards or base document.,Title: check the functionality of buttons available on all pages.. Description: all the buttons in every page should behave as expected. the functionality should be inline to the agreed standards or base document.,All buttons in every page should behave as expected. The functionality should be inline to the agreed standards or base document.,0.26666666666666666,all buttons in every page should behave as expected . functionality should be inline to agreed standards or base document .,0.21428571428571427,Check the functionality of buttons available on all pages.,1.0,Check the functionality of buttons available on all pages.,1.0
29,the user should not be able to submit a page twice by pressing the submit button in quick succession.,the user should not be able to submit a page twice by pressing the submit button in quick succession.,Title: the user should not be able to submit a page twice by pressing the submit button in quick succession.. Description: the user should not be able to submit a page twice by pressing the submit button in quick succession.,the user should not be able to submit a page twice by pressing the submit button in quick succession.,1.0,the user should not be able to submit a page twice by pressing the submit button in quick succession.,1.0,Title: The user should not be able to submit a page twice by pressing the submit button in quick succession.,1.0,The user should not be able to submit a page twice by pressing the submit button in quick succession.,1.0
30,divide by zero errors should be handled for any calculations.,divide by zero errors should be handled for any calculations.,Title: divide by zero errors should be handled for any calculations.. Description: divide by zero errors should be handled for any calculations.,Title: divide by zero errors should be handled for any calculations.,1.0,divide by zero errors should be handled for any calculations.,1.0,Divide by zero errors should be handled for any calculations.,1.0,Divide by zero errors should be handled for any calculations.,1.0
31,input data with the first and last position blank should be handled correctly.,spaces in input should be handled correctly.,Title: input data with the first and last position blank should be handled correctly.. Description: spaces in input should be handled correctly.,Title: input data with the first and last position blank should be handled correctly.,1.0,descriptions: input data with the first and last position blank should be handled correctly.,1.0,Title: Input data with the first and last position blank should be handled correctly..,1.0, input data with the first and last position blank should be handled correctly.,1.0
32,"all fields on a page for example, text box, radio options, dropdown lists should be aligned properly.","all fields on a page for example, text box, radio options, dropdown lists should be aligned properly.","Title: all fields on a page for example, text box, radio options, dropdown lists should be aligned properly.. Description: all fields on a page for example, text box, radio options, dropdown lists should be aligned properly.","All fields on a page for example, text box, radio options, dropdown lists should be aligned properly.",1.0,"all fields on a page for example, text box, radio options, dropdown lists should be aligned properly .",1.0,"Title: All fields on a page for example, text box, radio options, dropdown lists should be aligned properly..",1.0,"All fields on a page for example, text box, radio options, dropdown lists should be aligned properly.",1.0
33,numeric values should be justified correctly unless specified otherwise.,all the numeric fields should be justified correctly. for example if the standard required numeric fields to be left justified then all the numeric fields in all pages should be left justified.,Title: numeric values should be justified correctly unless specified otherwise.. Description: all the numeric fields should be justified correctly. for example if the standard required numeric fields to be left justified then all the numeric fields in all pages should be left justified.,Numeric values should be justified correctly unless specified otherwise.,1.0,numeric values should be justified correctly unless specified otherwise . all the numeric fields in all pages should be left justified .,0.6206896551724138,Numeric values should be justified correctly unless specified otherwise.,1.0,Numeric values should be justified correctly unless specified otherwise.,1.0
34,"enough space should be provided between field labels, columns, rows, error messages, etc.","the field labels, columns etc. should have proper spacing between them. this is required for improved readability.","Title: enough space should be provided between field labels, columns, rows, error messages, etc.. Description: the field labels, columns etc. should have proper spacing between them. this is required for improved readability.","Title: enough space should be provided between field labels, columns, rows, error messages. This is required for improved readability.",0.7741935483870968,"enough space should be provided between field labels, columns, rows, error messages, etc. this is required for improved readability.",0.8125000000000001,"Space should be provided between field labels, columns, rows, error messages, etc.",0.9600000000000001,"Enough space should be provided between field labels, columns, rows, error messages, etc. this is required for improved readability.",0.8125000000000001
35,the scrollbar should be enabled only when necessary.,the scrollbar should be enabled only when necessary.,Title: the scrollbar should be enabled only when necessary.. Description: the scrollbar should be enabled only when necessary.,Title: the scrollbar should be enabled only when necessary.,1.0,the scrollbar should be enabled only when necessary.,1.0,The scrollbar should be enabled only when necessary.,1.0,The scrollbar should be enabled only when necessary.,1.0
